date,areaCode,areaName,serviceCode,serviceName,totalNearStore,totalStore,avgNearMonth,1NearSurvival,2NearSurvival,3NearSurvival,5NearSurvival,5uNearSurvival,nearSales,numberOfNearSales,avgMonth,1Survival,2Survival,3Survival,5Survival,5uSurvival,sales,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility
201606.0,11947.0,당산로44길,CS100008,제과점,13.0,3.0,714.0,25.0,33.33,33.33,33.33,40.0,21215321.153846152,30420.0,82.0,100.0,0.0,0.0,100.0,100.0,32296183.66666667,8072.0,18025.0,7846,21113,21113,184.0,1155.0,111626531.0,1259,10054779088,21113,144
201606.0,11950.0,동일로_B,CS100008,제과점,8.0,3.0,800.0,16.67,44.44,0.0,20.0,16.67,20540215.375,21425.0,220.0,0.0,0.0,0.0,0.0,50.0,29415047.0,10795.0,8531.0,2829,7298,7298,188.0,224.0,29160758.0,585,7584920304,7298,88
201606.0,11954.0,동일로_C,CS100008,제과점,9.0,2.0,852.0,25.0,36.36,0.0,11.11,14.29,23309797.11111111,26132.0,386.0,50.0,66.67,0.0,0.0,0.0,21787588.0,5310.0,2785.0,2622,9197,9197,1974.0,424.0,537092891.0,663,10602653772,9197,126
201606.0,11956.0,동일로242가길,CS100008,제과점,8.0,1.0,800.0,16.67,44.44,0.0,20.0,20.0,20540215.375,21425.0,8.0,0.0,0.0,0.0,0.0,0.0,6409191.0,1299.0,6759.0,2871,7173,7173,718.0,1019.0,497798506.0,638,6834878851,7173,89
201606.0,11969.0,한글비석로20길_B,CS100008,제과점,19.0,1.0,516.0,33.33,63.64,10.0,25.0,20.0,12302885.94736842,27088.0,62.0,0.0,0.0,0.0,0.0,0.0,10813684.0,1653.0,10707.0,4873,6843,6843,314.0,363.0,23860416.0,1662,9775050789,6843,110
201606.0,11971.0,덕릉로83길,CS100008,제과점,19.0,1.0,516.0,23.08,62.5,11.11,20.0,18.18,12302885.94736842,27088.0,4.0,100.0,0.0,0.0,0.0,0.0,27643645.0,2128.0,4520.0,4409,8287,8287,1928.0,1603.0,554880590.0,1356,12828624829,8287,120
201606.0,11972.0,도봉로_B,CS100008,제과점,14.0,1.0,479.0,19.05,27.27,40.0,0.0,21.05,11633670.5,16761.0,33.0,0.0,0.0,100.0,0.0,0.0,12007510.0,920.0,2675.0,3000,11760,11760,1867.0,416.0,413925693.0,715,10120037905,11760,119
201606.0,11974.0,노원로34길,CS100008,제과점,8.0,2.0,243.0,18.18,57.14,0.0,33.33,25.0,11011214.25,10581.0,165.0,0.0,50.0,0.0,100.0,0.0,28350624.0,6403.0,7885.0,7528,7506,7506,1878.0,427.0,588899013.0,505,14006923841,7506,153
201606.0,11975.0,한글비석로_B,CS100008,제과점,19.0,2.0,776.0,20.0,63.64,9.09,30.0,20.0,15251989.789473685,33354.0,14.0,0.0,100.0,0.0,0.0,0.0,1712944.0,502.0,7516.0,6794,9846,9846,2002.0,338.0,493779206.0,1428,12198382760,9846,150
201606.0,11978.0,한글비석로_D,CS100008,제과점,8.0,1.0,208.0,20.0,62.5,0.0,33.33,33.33,13908877.875,13439.0,4.0,50.0,0.0,0.0,0.0,0.0,26947074.0,3552.0,11134.0,7804,5503,5503,1123.0,423.0,350810711.0,487,12129843945,5503,117
