date,areaCode,areaName,serviceCode,serviceName,totalNearStore,totalStore,avgNearMonth,1NearSurvival,2NearSurvival,3NearSurvival,5NearSurvival,5uNearSurvival,nearSales,numberOfNearSales,avgMonth,1Survival,2Survival,3Survival,5Survival,5uSurvival,sales,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility
201606.0,11947.0,당산로44길,CS100009,커피음료,59.0,3.0,873.0,48.39,40.0,33.33,53.33,31.25,7735418.203389831,73882.0,14.0,100.0,100.0,0.0,0.0,0.0,5547652.666666667,2824.0,18025.0,7846,21113,21113,184.0,1155.0,111626531.0,1259,10054779088,21113,144
201606.0,11948.0,동일로242길,CS100009,커피음료,28.0,8.0,940.0,37.5,14.29,57.14,66.67,100.0,10378649.25,37545.0,196.0,100.0,0.0,0.0,50.0,0.0,7137252.125,7804.0,3117.0,2626,8001,8001,1657.0,500.0,365339828.0,652,9113314423,8001,110
201606.0,11949.0,동일로_A,CS100009,커피음료,28.0,2.0,795.0,35.71,28.57,33.33,66.67,100.0,9096419.42857143,32217.0,145.0,0.0,0.0,0.0,100.0,0.0,18768262.0,3657.0,11655.0,3129,6455,6455,532.0,1249.0,281216170.0,587,6989771304,6455,74
201606.0,11950.0,동일로_B,CS100009,커피음료,28.0,2.0,827.0,41.18,25.0,33.33,57.14,80.0,9188938.82142857,33270.0,21.0,0.0,0.0,0.0,0.0,100.0,11023642.0,2927.0,8531.0,2829,7298,7298,188.0,224.0,29160758.0,585,7584920304,7298,88
201606.0,11954.0,동일로_C,CS100009,커피음료,32.0,3.0,968.0,38.89,14.29,50.0,66.67,100.0,9326443.65625,38477.0,77.0,50.0,0.0,50.0,33.33,0.0,5166286.666666667,1705.0,2785.0,2622,9197,9197,1974.0,424.0,537092891.0,663,10602653772,9197,126
201606.0,11956.0,동일로242가길,CS100009,커피음료,28.0,2.0,902.0,37.5,16.67,33.33,66.67,100.0,9922779.285714284,34904.0,95.0,20.0,0.0,50.0,0.0,0.0,19555030.5,4502.0,6759.0,2871,7173,7173,718.0,1019.0,497798506.0,638,6834878851,7173,89
201606.0,11958.0,도봉로181길_B,CS100009,커피음료,10.0,1.0,287.0,33.33,55.56,25.0,100.0,14.29,7585944.4,9775.0,141.0,0.0,33.33,0.0,0.0,33.33,25069320.0,4256.0,2105.0,1534,4449,4449,1338.0,464.0,608682704.0,569,9566022665,4449,66
201606.0,11962.0,상계로,CS100009,커피음료,53.0,3.0,1572.0,19.67,45.45,53.85,52.63,47.83,11358477.094339622,86994.0,69.0,60.0,0.0,100.0,0.0,0.0,1516381.0,445.0,10569.0,10630,18129,18129,690.0,996.0,259257296.0,585,9946805341,18129,231
201606.0,11966.0,해등로_B,CS100009,커피음료,23.0,3.0,531.0,52.17,40.0,40.0,25.0,44.44,8636336.826086957,26179.0,98.0,0.0,0.0,50.0,0.0,40.0,11071023.666666666,3632.0,4584.0,3626,10160,10160,2203.0,1002.0,522957428.0,1217,12056158432,10160,120
201606.0,11970.0,상계로27길,CS100009,커피음료,41.0,2.0,844.0,35.14,33.33,50.0,50.0,26.67,2287938.3658536584,13340.0,171.0,16.67,0.0,100.0,0.0,0.0,3599842.5,1126.0,7612.0,6434,10653,10653,1195.0,491.0,360818047.0,1477,13327082298,10653,137
201606.0,11974.0,노원로34길,CS100009,커피음료,24.0,6.0,359.0,45.45,27.27,20.0,50.0,14.29,4421755.375,15620.0,59.0,50.0,0.0,0.0,0.0,100.0,7673212.5,7082.0,7885.0,7528,7506,7506,1878.0,427.0,588899013.0,505,14006923841,7506,153
201606.0,11982.0,도당로_A,CS100009,커피음료,15.0,1.0,503.0,28.0,75.0,66.67,12.5,6.25,7145098.666666668,15434.0,31.0,0.0,0.0,100.0,0.0,0.0,5697297.0,920.0,1843.0,2879,9149,9149,676.0,432.0,220369594.0,471,10999490999,9149,105
201606.0,11984.0,도봉로145길,CS100009,커피음료,21.0,2.0,871.0,28.57,57.14,57.14,28.57,6.67,8151375.857142857,25994.0,38.0,100.0,0.0,50.0,0.0,0.0,11662315.5,3880.0,4116.0,3183,10257,10257,765.0,319.0,92866668.0,721,9216560305,10257,108
201606.0,11992.0,도봉로150길,CS100009,커피음료,30.0,5.0,794.0,34.09,50.0,42.86,50.0,4.55,6381128.833333332,28698.0,85.0,50.0,50.0,0.0,0.0,0.0,10802839.2,8091.0,4353.0,3255,14614,14614,1090.0,1386.0,1047042105.0,748,10662185531,14614,162
201606.0,11993.0,도당로13길_A,CS100009,커피음료,15.0,2.0,210.0,27.27,42.86,66.67,0.0,20.0,5070302.733333333,10829.0,21.0,66.67,0.0,0.0,0.0,0.0,5135449.5,1577.0,3763.0,2604,8157,8157,1332.0,405.0,656764617.0,476,12372780643,8157,87
201606.0,11994.0,도봉로_D,CS100009,커피음료,25.0,5.0,917.0,32.5,50.0,50.0,41.67,4.55,7969666.04,29632.0,203.0,0.0,100.0,0.0,50.0,0.0,3209617.0,1738.0,3925.0,3191,11584,11584,2402.0,329.0,363306482.0,743,10695321672,11584,116
201606.0,12000.0,도봉로114길,CS100009,커피음료,33.0,4.0,972.0,44.0,45.45,80.0,40.0,16.67,11300387.727272727,59884.0,163.0,50.0,100.0,0.0,100.0,50.0,8066912.5,5671.0,2684.0,3077,11229,11229,2658.0,410.0,629470821.0,745,12109390289,11229,136
201606.0,12001.0,도봉로_E,CS100009,커피음료,30.0,2.0,903.0,42.86,41.67,75.0,36.36,21.43,11836379.1,57131.0,84.0,40.0,0.0,0.0,0.0,0.0,37953066.5,8351.0,1862.0,3044,10373,10373,477.0,669.0,170799805.0,804,13014665173,10373,132
201606.0,12003.0,도봉로_G,CS100009,커피음료,33.0,6.0,1005.0,45.45,45.45,75.0,36.36,25.0,11922452.606060605,62191.0,115.0,50.0,0.0,100.0,50.0,33.33,15238135.833333336,9677.0,3330.0,3143,11265,11265,1203.0,6552.0,504573834.0,811,13510643734,11265,138
201606.0,12014.0,도봉로_H,CS100009,커피음료,32.0,4.0,909.0,45.83,45.45,66.67,37.5,18.75,11561553.84375,59481.0,226.0,25.0,100.0,0.0,0.0,50.0,17508916.25,15335.0,9401.0,2872,9698,9698,768.0,460.0,339191883.0,823,12856273763,9698,136
201606.0,12015.0,노해로_A,CS100009,커피음료,50.0,1.0,1456.0,19.35,55.56,58.33,55.56,54.55,11972559.92,86625.0,16.0,50.0,100.0,0.0,0.0,0.0,11053476.0,1631.0,15782.0,12943,17008,17008,114.0,0.0,0.0,548,8049812268,17008,218
201606.0,12017.0,노해로65길,CS100009,커피음료,14.0,2.0,706.0,50.0,50.0,75.0,41.67,15.38,26698639.71428572,61038.0,183.0,66.67,0.0,100.0,0.0,0.0,46811547.5,12042.0,12758.0,5440,7609,7609,843.0,0.0,0.0,559,7966409060,7609,117
201606.0,12026.0,삼양로144길,CS100009,커피음료,23.0,7.0,619.0,31.82,70.0,60.0,60.0,30.77,8775473.391304348,42995.0,282.0,20.0,100.0,66.67,100.0,33.33,10328891.57142857,15037.0,359.0,960,5333,5333,1077.0,429.0,319828041.0,562,4850810089,5333,63
201606.0,12032.0,도봉로_K,CS100009,커피음료,45.0,4.0,955.0,15.07,44.44,37.5,27.27,64.29,6042075.977777777,41317.0,142.0,0.0,100.0,0.0,100.0,0.0,1705618.5,989.0,2323.0,5247,18462,18462,1715.0,494.0,638948117.0,645,9408488599,18462,166
