date,areaCode,areaName,serviceCode,serviceName,totalNearStore,totalStore,avgNearMonth,1NearSurvival,2NearSurvival,3NearSurvival,5NearSurvival,5uNearSurvival,nearSales,numberOfNearSales,avgMonth,1Survival,2Survival,3Survival,5Survival,5uSurvival,sales,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility
201606.0,11949.0,동일로_A,CS100002,중국집,4.0,1.0,643.0,50.0,50.0,66.67,0.0,16.67,54512784.25,10133.0,12.0,100.0,0.0,0.0,0.0,0.0,46418224.0,1182.0,11655.0,3129,6455,6455,532.0,1249.0,281216170.0,587,6989771304,6455,74
201606.0,11953.0,도봉로_A,CS100002,중국집,11.0,1.0,781.0,42.86,12.5,16.67,22.22,21.05,19191968.09090909,10715.0,47.0,100.0,0.0,0.0,100.0,0.0,14732556.0,847.0,1367.0,2317,10230,10230,2025.0,590.0,898803030.0,969,10211078476,10230,130
201606.0,11954.0,동일로_C,CS100002,중국집,6.0,3.0,701.0,40.0,40.0,33.33,33.33,14.29,46632886.66666666,13742.0,479.0,50.0,50.0,0.0,0.0,50.0,17799618.333333332,2672.0,2785.0,2622,9197,9197,1974.0,424.0,537092891.0,663,10602653772,9197,126
201606.0,11957.0,도봉로181길_A,CS100002,중국집,4.0,2.0,296.0,20.0,0.0,0.0,0.0,25.0,9650881.5,2081.0,0.0,100.0,0.0,0.0,0.0,0.0,8539383.5,870.0,953.0,1464,3860,3860,901.0,492.0,460593432.0,572,7734630240,3860,34
201606.0,11963.0,한글비석로20길_A,CS100002,중국집,4.0,1.0,331.0,18.75,11.11,0.0,12.5,13.33,35259395.0,6644.0,49.0,0.0,0.0,0.0,0.0,0.0,28199390.0,555.0,27586.0,5628,7248,7248,339.0,377.0,70751183.0,1563,9790774801,7248,100
201606.0,11964.0,상계로23다길,CS100002,중국집,7.0,1.0,540.0,15.0,7.69,0.0,16.67,26.67,32466425.71428572,10198.0,72.0,0.0,0.0,0.0,0.0,50.0,48900577.0,2898.0,4999.0,7043,9538,9538,977.0,323.0,199679079.0,1507,11916235639,9538,136
201606.0,11971.0,덕릉로83길,CS100002,중국집,4.0,1.0,512.0,18.75,10.0,0.0,0.0,29.41,36850889.5,7023.0,88.0,66.67,0.0,0.0,0.0,100.0,81406478.0,4475.0,4520.0,4409,8287,8287,1928.0,1603.0,554880590.0,1356,12828624829,8287,120
201606.0,11974.0,노원로34길,CS100002,중국집,8.0,2.0,465.0,13.33,14.29,0.0,33.33,27.27,16827527.75,6209.0,109.0,0.0,0.0,0.0,0.0,100.0,6462406.0,842.0,7885.0,7528,7506,7506,1878.0,427.0,588899013.0,505,14006923841,7506,153
201606.0,11979.0,도당로27길,CS100002,중국집,9.0,2.0,793.0,50.0,18.18,16.67,27.27,18.18,15612765.222222222,8542.0,201.0,0.0,50.0,0.0,100.0,33.33,22435681.0,2785.0,1591.0,2983,11593,11593,1849.0,364.0,615773107.0,724,10597982439,11593,130
201606.0,11983.0,도봉로156길,CS100002,중국집,13.0,1.0,1114.0,50.0,9.09,20.0,33.33,27.78,16866106.0,11130.0,74.0,33.33,0.0,0.0,0.0,0.0,10969647.0,599.0,3233.0,2819,12483,12483,2980.0,378.0,736655192.0,1094,11274401871,12483,157
201606.0,11994.0,도봉로_D,CS100002,중국집,7.0,1.0,739.0,40.0,27.27,11.11,36.36,14.29,11596275.0,5180.0,333.0,0.0,0.0,0.0,50.0,0.0,8147729.0,415.0,3925.0,3191,11584,11584,2402.0,329.0,363306482.0,743,10695321672,11584,116
201606.0,11998.0,도봉로109길,CS100002,중국집,8.0,1.0,579.0,40.0,14.29,25.0,40.0,20.0,21557102.25,9816.0,7.0,100.0,0.0,0.0,0.0,0.0,13082103.0,880.0,6614.0,3219,11127,11127,832.0,426.0,336358417.0,810,14609193079,11127,150
201606.0,12001.0,도봉로_E,CS100002,중국집,7.0,1.0,803.0,50.0,33.33,0.0,0.0,30.0,26069322.71428572,10464.0,12.0,100.0,0.0,0.0,0.0,0.0,10157279.0,854.0,1862.0,3044,10373,10373,477.0,669.0,170799805.0,804,13014665173,10373,132
201606.0,12003.0,도봉로_G,CS100002,중국집,7.0,1.0,504.0,50.0,25.0,25.0,33.33,20.0,27427336.0,11091.0,0.0,100.0,0.0,0.0,0.0,0.0,13518382.0,941.0,3330.0,3143,11265,11265,1203.0,6552.0,504573834.0,811,13510643734,11265,138
201606.0,12017.0,노해로65길,CS100002,중국집,3.0,1.0,217.0,37.5,0.0,20.0,0.0,20.0,39232984.333333336,6118.0,176.0,0.0,0.0,100.0,0.0,100.0,44526242.0,1342.0,12758.0,5440,7609,7609,843.0,0.0,0.0,559,7966409060,7609,117
201606.0,12034.0,도봉로67길_B,CS100002,중국집,10.0,1.0,1345.0,9.09,0.0,50.0,0.0,41.18,18874196.3,11159.0,171.0,0.0,0.0,0.0,0.0,100.0,334231.0,44.0,2771.0,4198,13444,13444,1598.0,416.0,517464486.0,643,11700793765,13444,158
201606.0,12042.0,덕릉로60길,CS100002,중국집,7.0,1.0,402.0,11.11,50.0,28.57,33.33,22.22,12298446.42857143,4600.0,28.0,0.0,0.0,50.0,0.0,0.0,12172281.0,592.0,4380.0,6562,6940,6940,1079.0,357.0,433981198.0,740,9666336784,6940,79
201606.0,12044.0,도봉로_N,CS100002,중국집,12.0,1.0,561.0,15.38,25.0,100.0,71.43,11.11,17223122.333333332,10942.0,231.0,0.0,0.0,0.0,0.0,100.0,15567478.0,987.0,6631.0,4827,15036,15036,515.0,531.0,254460186.0,791,10504230363,15036,117
201606.0,12050.0,노해로17길,CS100002,중국집,18.0,1.0,858.0,16.0,12.5,28.57,30.0,36.36,27257666.222222224,22567.0,2.0,0.0,0.0,0.0,0.0,50.0,49666667.0,1126.0,2718.0,4618,19586,19586,1809.0,507.0,792470523.0,763,13828879025,19586,221
201606.0,12051.0,동일로203가길,CS100002,중국집,6.0,1.0,725.0,100.0,100.0,0.0,50.0,66.67,25857944.66666667,6758.0,89.0,0.0,0.0,0.0,100.0,0.0,58230330.0,3239.0,24287.0,7100,5699,5699,1570.0,258.0,303126889.0,491,9856576415,5699,92
