date,areaCode,areaName,serviceCode,serviceName,totalNearStore,totalStore,avgNearMonth,1NearSurvival,2NearSurvival,3NearSurvival,5NearSurvival,5uNearSurvival,nearSales,numberOfNearSales,avgMonth,1Survival,2Survival,3Survival,5Survival,5uSurvival,sales,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility
201606.0,11948.0,동일로242길,CS100010,호프간이주점,41.0,9.0,1752.0,58.33,20.0,0.0,83.33,75.0,7105384.5121951215,11344.0,746.0,0.0,50.0,0.0,100.0,100.0,12153367.666666664,2552.0,3117.0,2626,8001,8001,1657.0,500.0,365339828.0,652,9113314423,8001,110
201606.0,11949.0,동일로_A,CS100010,호프간이주점,37.0,3.0,1714.0,66.67,50.0,0.0,100.0,80.0,6272236.675675675,8491.0,98.0,0.0,0.0,0.0,100.0,0.0,6194153.0,1347.0,11655.0,3129,6455,6455,532.0,1249.0,281216170.0,587,6989771304,6455,74
201606.0,11950.0,동일로_B,CS100010,호프간이주점,39.0,5.0,1641.0,60.0,28.57,0.0,100.0,80.0,5855078.743589744,7573.0,44.0,50.0,0.0,0.0,0.0,0.0,943262.4,142.0,8531.0,2829,7298,7298,188.0,224.0,29160758.0,585,7584920304,7298,88
201606.0,11953.0,도봉로_A,CS100010,호프간이주점,47.0,5.0,2117.0,33.33,72.73,20.0,66.67,40.0,2630811.6382978717,4326.0,412.0,50.0,50.0,100.0,100.0,0.0,3097594.4,378.0,1367.0,2317,10230,10230,2025.0,590.0,898803030.0,969,10211078476,10230,130
201606.0,11954.0,동일로_C,CS100010,호프간이주점,42.0,8.0,1751.0,54.55,16.67,0.0,100.0,75.0,6698751.642857143,10885.0,73.0,50.0,0.0,0.0,100.0,0.0,2114973.75,672.0,2785.0,2622,9197,9197,1974.0,424.0,537092891.0,663,10602653772,9197,126
201606.0,11956.0,동일로242가길,CS100010,호프간이주점,38.0,2.0,1598.0,63.64,20.0,0.0,83.33,75.0,6455592.921052633,9034.0,151.0,100.0,0.0,0.0,0.0,100.0,4658914.5,202.0,6759.0,2871,7173,7173,718.0,1019.0,497798506.0,638,6834878851,7173,89
201606.0,11957.0,도봉로181길_A,CS100010,호프간이주점,15.0,3.0,1761.0,50.0,33.33,0.0,100.0,75.0,12754454.0,6612.0,253.0,25.0,50.0,0.0,0.0,100.0,10019602.666666666,1162.0,953.0,1464,3860,3860,901.0,492.0,460593432.0,572,7734630240,3860,34
201606.0,11958.0,도봉로181길_B,CS100010,호프간이주점,16.0,6.0,1549.0,50.0,33.33,0.0,75.0,75.0,11159411.0,6164.0,611.0,100.0,20.0,0.0,100.0,50.0,10884087.666666666,2427.0,2105.0,1534,4449,4449,1338.0,464.0,608682704.0,569,9566022665,4449,66
201606.0,11962.0,상계로,CS100010,호프간이주점,81.0,2.0,3119.0,33.33,31.82,50.0,56.25,61.54,12451441.98765432,45040.0,117.0,0.0,0.0,0.0,0.0,0.0,2799145.5,171.0,10569.0,10630,18129,18129,690.0,996.0,259257296.0,585,9946805341,18129,231
201606.0,11963.0,한글비석로20길_A,CS100010,호프간이주점,35.0,4.0,2152.0,20.0,56.25,50.0,37.5,66.67,5509685.371428572,6495.0,130.0,0.0,33.33,100.0,0.0,100.0,5396622.75,822.0,27586.0,5628,7248,7248,339.0,377.0,70751183.0,1563,9790774801,7248,100
201606.0,11964.0,상계로23다길,CS100010,호프간이주점,64.0,3.0,2784.0,22.73,50.0,41.67,46.15,64.29,5827500.0625,11139.0,29.0,25.0,50.0,0.0,0.0,0.0,1015250.6666666664,183.0,4999.0,7043,9538,9538,977.0,323.0,199679079.0,1507,11916235639,9538,136
201606.0,11966.0,해등로_B,CS100010,호프간이주점,17.0,2.0,1290.0,50.0,41.67,16.67,33.33,28.57,7772131.882352943,5653.0,301.0,66.67,20.0,0.0,0.0,50.0,9741181.0,763.0,4584.0,3626,10160,10160,2203.0,1002.0,522957428.0,1217,12056158432,10160,120
201606.0,11969.0,한글비석로20길_B,CS100010,호프간이주점,33.0,5.0,2299.0,22.22,50.0,33.33,42.86,78.57,5526439.2727272725,6550.0,182.0,0.0,100.0,100.0,0.0,0.0,3110428.0,1429.0,10707.0,4873,6843,6843,314.0,363.0,23860416.0,1662,9775050789,6843,110
201606.0,11970.0,상계로27길,CS100010,호프간이주점,51.0,3.0,2834.0,27.27,52.17,35.29,38.46,57.14,5665285.607843137,8395.0,395.0,0.0,50.0,0.0,100.0,100.0,7084738.333333332,276.0,7612.0,6434,10653,10653,1195.0,491.0,360818047.0,1477,13327082298,10653,137
201606.0,11971.0,덕릉로83길,CS100010,호프간이주점,41.0,6.0,2478.0,21.05,52.94,30.77,42.86,78.57,4519270.780487805,6668.0,256.0,50.0,66.67,0.0,0.0,50.0,12160692.666666664,2212.0,4520.0,4409,8287,8287,1928.0,1603.0,554880590.0,1356,12828624829,8287,120
201606.0,11972.0,도봉로_B,CS100010,호프간이주점,45.0,3.0,3865.0,14.81,35.0,45.45,33.33,46.15,7333067.222222223,11631.0,102.0,0.0,0.0,0.0,0.0,0.0,2989492.333333333,222.0,2675.0,3000,11760,11760,1867.0,416.0,413925693.0,715,10120037905,11760,119
201606.0,11974.0,노원로34길,CS100010,호프간이주점,34.0,3.0,1081.0,30.77,61.54,16.67,28.57,62.5,3253441.970588235,4085.0,227.0,0.0,0.0,0.0,0.0,100.0,11217949.333333334,933.0,7885.0,7528,7506,7506,1878.0,427.0,588899013.0,505,14006923841,7506,153
201606.0,11975.0,한글비석로_B,CS100010,호프간이주점,49.0,4.0,2787.0,25.0,54.55,35.29,38.46,66.67,5063674.020408163,8246.0,266.0,0.0,100.0,0.0,100.0,33.33,1898842.75,88.0,7516.0,6794,9846,9846,2002.0,338.0,493779206.0,1428,12198382760,9846,150
201606.0,11978.0,한글비석로_D,CS100010,호프간이주점,29.0,5.0,1054.0,50.0,62.5,14.29,50.0,71.43,3601113.379310345,3689.0,86.0,66.67,100.0,0.0,0.0,100.0,4221369.4,759.0,11134.0,7804,5503,5503,1123.0,423.0,350810711.0,487,12129843945,5503,117
201606.0,11979.0,도당로27길,CS100010,호프간이주점,47.0,5.0,3180.0,21.74,42.11,35.71,45.45,44.44,4291307.4255319135,7777.0,35.0,0.0,100.0,0.0,0.0,0.0,606722.6,109.0,1591.0,2983,11593,11593,1849.0,364.0,615773107.0,724,10597982439,11593,130
201606.0,11982.0,도당로_A,CS100010,호프간이주점,46.0,4.0,4013.0,17.86,29.17,36.36,25.0,41.67,7496613.0652173925,12074.0,65.0,100.0,100.0,0.0,0.0,0.0,556722.75,84.0,1843.0,2879,9149,9149,676.0,432.0,220369594.0,471,10999490999,9149,105
201606.0,11983.0,도봉로156길,CS100010,호프간이주점,55.0,16.0,2784.0,31.58,62.5,33.33,54.55,47.06,2899839.3272727267,5481.0,649.0,33.33,66.67,33.33,100.0,50.0,1632663.6875,731.0,3233.0,2819,12483,12483,2980.0,378.0,736655192.0,1094,11274401871,12483,157
201606.0,11984.0,도봉로145길,CS100010,호프간이주점,40.0,6.0,3626.0,15.38,33.33,50.0,33.33,46.67,6767188.225,9374.0,288.0,0.0,0.0,0.0,0.0,0.0,5664867.5,1094.0,4116.0,3183,10257,10257,765.0,319.0,92866668.0,721,9216560305,10257,108
201606.0,11992.0,도봉로150길,CS100010,호프간이주점,52.0,2.0,3220.0,16.67,36.84,29.41,36.36,47.06,4160698.230769232,8353.0,258.0,0.0,100.0,100.0,100.0,100.0,5970683.5,410.0,4353.0,3255,14614,14614,1090.0,1386.0,1047042105.0,748,10662185531,14614,162
201606.0,11993.0,도당로13길_A,CS100010,호프간이주점,25.0,3.0,2656.0,33.33,31.82,42.86,20.0,50.0,11334062.4,9679.0,337.0,0.0,0.0,0.0,0.0,0.0,2879205.333333333,272.0,3763.0,2604,8157,8157,1332.0,405.0,656764617.0,476,12372780643,8157,87
201606.0,11994.0,도봉로_D,CS100010,호프간이주점,49.0,6.0,3840.0,17.24,38.1,30.77,33.33,50.0,5795968.448979593,9874.0,728.0,0.0,33.33,100.0,0.0,33.33,8876231.5,2289.0,3925.0,3191,11584,11584,2402.0,329.0,363306482.0,743,10695321672,11584,116
201606.0,11998.0,도봉로109길,CS100010,호프간이주점,31.0,1.0,2013.0,50.0,42.86,71.43,20.0,66.67,10767967.35483871,13108.0,31.0,0.0,0.0,100.0,0.0,0.0,16832512.0,833.0,6614.0,3219,11127,11127,832.0,426.0,336358417.0,810,14609193079,11127,150
201606.0,12000.0,도봉로114길,CS100010,호프간이주점,31.0,7.0,1903.0,58.33,38.46,81.82,16.67,60.0,9534363.935483873,10036.0,175.0,0.0,75.0,50.0,33.33,100.0,5490180.0,1654.0,2684.0,3077,11229,11229,2658.0,410.0,629470821.0,745,12109390289,11229,136
201606.0,12001.0,도봉로_E,CS100010,호프간이주점,31.0,2.0,1589.0,54.55,41.67,69.23,16.67,60.0,10065605.838709677,12192.0,169.0,100.0,0.0,0.0,0.0,50.0,5417576.0,281.0,1862.0,3044,10373,10373,477.0,669.0,170799805.0,804,13014665173,10373,132
201606.0,12003.0,도봉로_G,CS100010,호프간이주점,29.0,3.0,1561.0,41.67,35.71,76.92,16.67,60.0,10684033.51724138,12118.0,49.0,100.0,0.0,100.0,0.0,0.0,10796973.0,1125.0,3330.0,3143,11265,11265,1203.0,6552.0,504573834.0,811,13510643734,11265,138
201606.0,12005.0,도봉로113길,CS100010,호프간이주점,29.0,3.0,1749.0,63.64,44.44,81.82,16.67,60.0,10902762.413793104,12653.0,37.0,0.0,0.0,0.0,0.0,0.0,709401.6666666665,327.0,1730.0,2979,9290,9290,586.0,433.0,261337529.0,841,12795870421,9290,123
201606.0,12014.0,도봉로_H,CS100010,호프간이주점,31.0,3.0,1693.0,63.64,30.0,75.0,16.67,50.0,8969819.516129032,9634.0,465.0,0.0,0.0,100.0,0.0,0.0,8563980.333333334,1182.0,9401.0,2872,9698,9698,768.0,460.0,339191883.0,823,12856273763,9698,136
201606.0,12015.0,노해로_A,CS100010,호프간이주점,70.0,4.0,2597.0,31.82,31.25,70.0,61.54,61.54,14157224.728571428,44349.0,147.0,0.0,100.0,100.0,0.0,0.0,17317240.0,1808.0,15782.0,12943,17008,17008,114.0,0.0,0.0,548,8049812268,17008,218
201606.0,12017.0,노해로65길,CS100010,호프간이주점,34.0,3.0,1675.0,57.14,16.67,25.0,0.0,63.64,8493102.323529411,11284.0,371.0,0.0,50.0,50.0,0.0,100.0,10376697.666666666,860.0,12758.0,5440,7609,7609,843.0,0.0,0.0,559,7966409060,7609,117
201606.0,12024.0,노해로85길,CS100010,호프간이주점,79.0,9.0,2999.0,34.62,33.33,50.0,53.33,57.14,10026044.303797467,32190.0,151.0,50.0,0.0,0.0,0.0,100.0,11562956.888888888,2154.0,9710.0,10673,16228,16228,762.0,263.0,359893061.0,642,8962292853,16228,203
201606.0,12025.0,노해로63길,CS100010,호프간이주점,34.0,4.0,1675.0,62.5,28.57,20.0,0.0,58.33,8493102.323529411,11284.0,83.0,100.0,0.0,0.0,0.0,0.0,10297246.0,1771.0,6240.0,4855,9198,9198,862.0,1001.0,115470128.0,758,9818515275,9198,126
201606.0,12032.0,도봉로_K,CS100010,호프간이주점,59.0,5.0,2333.0,10.53,18.75,16.67,40.0,60.0,4055352.5593220335,8397.0,58.0,0.0,0.0,0.0,0.0,50.0,2174345.2,237.0,2323.0,5247,18462,18462,1715.0,494.0,638948117.0,645,9408488599,18462,166
201606.0,12033.0,도봉로_L,CS100010,호프간이주점,60.0,2.0,2380.0,13.79,18.18,40.0,40.0,75.0,4950608.866666666,14361.0,316.0,0.0,0.0,0.0,100.0,100.0,7559305.5,298.0,2724.0,3605,12161,12161,731.0,419.0,254526645.0,682,9835998735,12161,112
201606.0,12034.0,도봉로67길_B,CS100010,호프간이주점,79.0,2.0,2976.0,14.29,22.22,22.22,38.46,78.95,4059056.253164557,15096.0,37.0,0.0,100.0,0.0,0.0,100.0,797872.5,37.0,2771.0,4198,13444,13444,1598.0,416.0,517464486.0,643,11700793765,13444,158
201606.0,12035.0,도봉로77길,CS100010,호프간이주점,59.0,11.0,2304.0,9.52,38.1,14.29,18.18,55.56,4363868.203389831,9699.0,209.0,25.0,0.0,0.0,100.0,0.0,1549347.9090909092,800.0,4883.0,5658,18975,18975,1684.0,585.0,779274290.0,706,13244086092,18975,227
201606.0,12042.0,덕릉로60길,CS100010,호프간이주점,33.0,3.0,1823.0,30.77,28.57,28.57,44.44,50.0,5677100.878787879,7765.0,52.0,0.0,50.0,50.0,0.0,33.33,2981414.0,286.0,4380.0,6562,6940,6940,1079.0,357.0,433981198.0,740,9666336784,6940,79
201606.0,12043.0,한천로143길,CS100010,호프간이주점,155.0,2.0,5654.0,36.59,25.93,50.0,28.57,73.68,9980537.361290324,93357.0,53.0,0.0,0.0,33.33,0.0,0.0,7088997.0,377.0,4689.0,6519,20475,20475,751.0,368.0,284935032.0,788,10934709999,20475,217
201606.0,12044.0,도봉로_N,CS100010,호프간이주점,84.0,7.0,2901.0,37.5,23.08,41.67,25.0,100.0,10678196.285714284,71961.0,117.0,100.0,100.0,0.0,0.0,0.0,4140916.2857142864,953.0,6631.0,4827,15036,15036,515.0,531.0,254460186.0,791,10504230363,15036,117
201606.0,12047.0,노해로11길,CS100010,호프간이주점,124.0,1.0,3766.0,34.38,29.17,52.94,26.67,60.0,10619666.556451613,87728.0,196.0,0.0,0.0,0.0,0.0,0.0,8551223.0,305.0,3644.0,6371,21878,21878,1514.0,559.0,612203668.0,790,11857001987,21878,218
201606.0,12048.0,도봉로_O,CS100010,호프간이주점,148.0,9.0,5188.0,37.84,21.74,50.0,22.22,75.0,9925755.25,90634.0,305.0,0.0,0.0,0.0,0.0,0.0,14020290.111111112,3497.0,8993.0,5622,18771,18771,766.0,430.0,292054809.0,784,10337554010,18771,181
201606.0,12050.0,노해로17길,CS100010,호프간이주점,126.0,6.0,4534.0,27.03,36.0,47.06,31.25,66.67,10592433.801587302,87068.0,156.0,0.0,0.0,100.0,50.0,0.0,1356563.833333333,458.0,2718.0,4618,19586,19586,1809.0,507.0,792470523.0,763,13828879025,19586,221
201606.0,12051.0,동일로203가길,CS100010,호프간이주점,6.0,3.0,576.0,0.0,0.0,0.0,33.33,0.0,22998339.0,5762.0,184.0,0.0,0.0,0.0,50.0,0.0,33854380.333333336,3332.0,24287.0,7100,5699,5699,1570.0,258.0,303126889.0,491,9856576415,5699,92
201606.0,12052.0,한천로_B,CS100010,호프간이주점,147.0,1.0,5464.0,36.59,25.0,52.63,36.36,64.29,10299026.319727892,93551.0,9.0,100.0,0.0,0.0,0.0,0.0,7851064.0,340.0,2710.0,4961,16327,16327,897.0,499.0,412618032.0,848,9960159757,16327,167
201606.0,12053.0,덕릉로57길,CS100010,호프간이주점,31.0,3.0,1585.0,26.67,40.0,37.5,28.57,50.0,5777397.419354837,6702.0,106.0,0.0,0.0,0.0,0.0,100.0,826535.3333333335,64.0,11299.0,6345,8427,8427,1905.0,563.0,852123468.0,731,12294199885,8427,92
201606.0,12054.0,한천로140길,CS100010,호프간이주점,140.0,9.0,4459.0,43.59,21.74,47.83,30.0,69.23,10751648.214285716,93052.0,534.0,100.0,0.0,0.0,0.0,100.0,1582385.888888889,748.0,4548.0,4811,17548,17548,1787.0,394.0,630772845.0,776,12276806972,17548,170
201606.0,12056.0,덕릉로_E,CS100010,호프간이주점,24.0,3.0,1554.0,23.08,33.33,37.5,33.33,55.56,7097441.0,6444.0,75.0,0.0,0.0,0.0,0.0,100.0,1844250.333333333,647.0,17485.0,7333,7059,7059,727.0,653.0,233135297.0,735,10483142394,7059,77
201606.0,12058.0,석계로_A,CS100010,호프간이주점,13.0,3.0,697.0,33.33,25.0,0.0,0.0,100.0,6620689.230769231,7692.0,147.0,33.33,0.0,0.0,0.0,0.0,4003372.333333334,919.0,3124.0,2373,5831,5831,1251.0,934.0,527682228.0,759,5875574179,5831,61
201606.0,12059.0,동일로180길,CS100010,호프간이주점,45.0,2.0,2289.0,40.0,42.86,50.0,42.86,72.73,8085059.755555555,10649.0,131.0,100.0,0.0,0.0,0.0,0.0,4481579.5,555.0,2724.0,3778,17783,17783,2333.0,1188.0,1126170263.0,913,13113993539,17783,170
201606.0,12067.0,통일로_A,CS100010,호프간이주점,104.0,4.0,4252.0,25.0,33.33,18.18,69.23,45.0,9495966.567307692,41581.0,62.0,50.0,0.0,0.0,0.0,0.0,2333080.75,1687.0,6276.0,6178,13862,13862,375.0,336.0,179375824.0,818,12387406791,13862,218
201606.0,12070.0,통일로87길,CS100010,호프간이주점,103.0,10.0,3734.0,26.09,29.17,20.0,60.0,52.94,9378164.54368932,40440.0,529.0,50.0,25.0,0.0,0.0,100.0,7195084.0,1807.0,5533.0,4541,14039,14039,1265.0,490.0,712057577.0,703,16404380289,14039,239
201606.0,12071.0,동일로_L,CS100010,호프간이주점,41.0,7.0,2113.0,33.33,33.33,60.0,42.86,72.73,8782335.390243903,10460.0,297.0,0.0,0.0,0.0,0.0,100.0,700129.2857142857,209.0,3171.0,3972,17526,17526,1764.0,645.0,483971275.0,960,10968876318,17526,161
201606.0,12072.0,통일로83길,CS100010,호프간이주점,100.0,1.0,3479.0,26.32,28.0,20.0,70.0,50.0,9583401.65,38910.0,66.0,0.0,50.0,0.0,0.0,0.0,18567605.0,642.0,3078.0,6372,11795,11795,914.0,419.0,310526206.0,805,11934215958,11795,190
201606.0,12073.0,동일로_M,CS100010,호프간이주점,31.0,3.0,1870.0,28.57,33.33,50.0,33.33,66.67,9309562.0,8193.0,79.0,0.0,0.0,0.0,100.0,0.0,2167393.666666666,546.0,3945.0,3872,16143,16143,2409.0,840.0,743483375.0,949,11246952072,16143,142
201606.0,12074.0,솔샘로67길,CS100010,호프간이주점,70.0,8.0,3541.0,14.81,17.65,28.57,9.09,65.22,4321072.4428571435,14839.0,574.0,0.0,0.0,0.0,0.0,75.0,1660112.5,293.0,3301.0,2779,15347,15347,1397.0,1569.0,533188053.0,697,15236045640,15347,135
201606.0,12075.0,공릉로_B,CS100010,호프간이주점,32.0,4.0,2131.0,44.44,42.86,66.67,25.0,77.78,10604574.59375,11538.0,243.0,100.0,66.67,50.0,0.0,100.0,12006577.0,1736.0,3298.0,4148,10695,10695,2803.0,732.0,549452193.0,728,12120950982,10695,160
201606.0,12076.0,동일로_N,CS100010,호프간이주점,28.0,4.0,1639.0,20.0,50.0,60.0,40.0,70.0,9278848.25,7989.0,132.0,0.0,50.0,100.0,0.0,0.0,6476625.5,546.0,5822.0,3895,15404,15404,2316.0,1882.0,712588702.0,869,12751196150,15404,167
201606.0,12077.0,도봉로50길,CS100010,호프간이주점,50.0,1.0,2505.0,13.64,10.0,42.86,40.0,62.5,4253414.04,11612.0,60.0,0.0,0.0,0.0,0.0,0.0,6759138.0,186.0,3725.0,3727,10196,10196,800.0,510.0,351986145.0,663,9994949706,10196,114
201606.0,12079.0,도봉로_P,CS100010,호프간이주점,53.0,8.0,2320.0,13.04,9.09,33.33,25.0,62.5,4363219.415094338,12295.0,175.0,0.0,0.0,100.0,0.0,0.0,4917122.0,1014.0,6471.0,3160,11023,11023,124.0,474.0,40805297.0,832,9984095071,11023,87
201606.0,12081.0,솔매로,CS100010,호프간이주점,63.0,6.0,2778.0,14.81,7.69,33.33,27.27,61.11,4047355.523809524,12991.0,183.0,33.33,100.0,0.0,0.0,100.0,4844426.666666667,984.0,2863.0,3172,11799,11799,1527.0,461.0,625767437.0,677,11566336970,11799,94
201606.0,12084.0,동일로197길,CS100010,호프간이주점,10.0,1.0,573.0,0.0,33.33,100.0,0.0,75.0,12912366.5,4262.0,32.0,0.0,100.0,0.0,0.0,0.0,8731469.0,762.0,8686.0,4716,6030,6030,530.0,652.0,43966894.0,812,5868130775,6030,118
201606.0,12085.0,도봉로_Q,CS100010,호프간이주점,70.0,21.0,3310.0,15.63,12.5,33.33,33.33,70.83,4376818.342857143,14862.0,812.0,20.0,0.0,50.0,33.33,100.0,4382437.80952381,3110.0,6139.0,3445,15437,15437,2586.0,426.0,969835838.0,718,12872025432,15437,147
201606.0,12086.0,동일로192길,CS100010,호프간이주점,41.0,9.0,2358.0,30.77,50.0,60.0,40.0,72.73,7495129.585365852,9861.0,536.0,50.0,50.0,0.0,0.0,100.0,17034774.0,3777.0,6505.0,4164,13167,13167,1757.0,681.0,515625640.0,979,12751278567,13167,181
201606.0,12090.0,월계로_A,CS100010,호프간이주점,95.0,8.0,3319.0,35.48,46.15,35.29,38.89,33.33,9929678.10526316,68004.0,492.0,0.0,0.0,0.0,0.0,0.0,2053371.125,474.0,5209.0,4574,16488,16488,730.0,327.0,248436361.0,738,6582411370,16488,232
201606.0,12091.0,공릉로2길,CS100010,호프간이주점,58.0,8.0,2116.0,42.11,26.32,44.44,50.0,50.0,6210633.517241377,6963.0,419.0,0.0,0.0,50.0,100.0,100.0,5154731.875,1618.0,5985.0,3060,10795,10795,3001.0,2027.0,1432650610.0,909,13015445637,10795,125
201606.0,12092.0,한천로78길,CS100010,호프간이주점,43.0,9.0,1971.0,28.57,23.08,50.0,37.5,36.36,7535528.697674419,11065.0,303.0,0.0,0.0,100.0,0.0,66.67,7739700.666666668,2064.0,2786.0,2318,8718,8718,1443.0,433.0,508076897.0,841,9378358503,8718,136
