date,areaCode,areaName,serviceCode,serviceName,totalNearStore,totalStore,avgNearMonth,1NearSurvival,2NearSurvival,3NearSurvival,5NearSurvival,5uNearSurvival,nearSales,numberOfNearSales,avgMonth,1Survival,2Survival,3Survival,5Survival,5uSurvival,sales,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility
201606.0,11947.0,당산로44길,CS100004,양식집,13.0,1.0,857.0,18.18,12.5,50.0,30.0,27.27,22758007.923076924,33107.0,9.0,0.0,0.0,0.0,0.0,0.0,25522099.0,2221.0,18025.0,7846,21113,21113,184.0,1155.0,111626531.0,1259,10054779088,21113,144
201606.0,11948.0,동일로242길,CS100004,양식집,7.0,1.0,568.0,28.57,50.0,20.0,0.0,40.0,13848627.142857146,6115.0,87.0,33.33,0.0,0.0,0.0,0.0,39849537.0,2065.0,3117.0,2626,8001,8001,1657.0,500.0,365339828.0,652,9113314423,8001,110
201606.0,11958.0,도봉로181길_B,CS100004,양식집,2.0,1.0,402.0,7.14,0.0,0.0,16.67,0.0,20782272.0,2941.0,77.0,11.11,0.0,0.0,0.0,0.0,10574830.0,417.0,2105.0,1534,4449,4449,1338.0,464.0,608682704.0,569,9566022665,4449,66
201606.0,11962.0,상계로,CS100004,양식집,29.0,1.0,2693.0,7.41,26.92,18.75,29.03,34.38,39605747.44827586,58706.0,115.0,0.0,0.0,0.0,0.0,0.0,23189950.0,3447.0,10569.0,10630,18129,18129,690.0,996.0,259257296.0,585,9946805341,18129,231
201606.0,11963.0,한글비석로20길_A,CS100004,양식집,7.0,1.0,480.0,2.63,14.29,9.09,10.0,0.0,27393248.85714286,19357.0,33.0,0.0,0.0,0.0,0.0,0.0,33648063.0,8130.0,27586.0,5628,7248,7248,339.0,377.0,70751183.0,1563,9790774801,7248,100
201606.0,11970.0,상계로27길,CS100004,양식집,12.0,1.0,817.0,1.75,11.11,15.38,7.69,8.33,22304324.5,28019.0,33.0,0.0,100.0,0.0,0.0,0.0,15687106.0,784.0,7612.0,6434,10653,10653,1195.0,491.0,360818047.0,1477,13327082298,10653,137
201606.0,11974.0,노원로34길,CS100004,양식집,9.0,3.0,327.0,3.03,0.0,33.33,10.0,16.67,9153040.111111112,6612.0,8.0,0.0,0.0,0.0,33.33,50.0,1275315.333333333,832.0,7885.0,7528,7506,7506,1878.0,427.0,588899013.0,505,14006923841,7506,153
201606.0,11975.0,한글비석로_B,CS100004,양식집,13.0,2.0,641.0,1.79,11.11,15.38,12.5,15.38,17546915.769230768,23152.0,18.0,25.0,0.0,0.0,0.0,0.0,7551559.5,573.0,7516.0,6794,9846,9846,2002.0,338.0,493779206.0,1428,12198382760,9846,150
201606.0,11978.0,한글비석로_D,CS100004,양식집,8.0,1.0,244.0,4.55,0.0,40.0,9.09,20.0,8770527.625,5076.0,98.0,0.0,0.0,100.0,0.0,0.0,18046181.0,1032.0,11134.0,7804,5503,5503,1123.0,423.0,350810711.0,487,12129843945,5503,117
201606.0,11983.0,도봉로156길,CS100004,양식집,5.0,1.0,972.0,14.29,0.0,9.09,0.0,19.23,21872011.6,7630.0,330.0,16.67,0.0,0.0,0.0,25.0,5326487.0,282.0,3233.0,2819,12483,12483,2980.0,378.0,736655192.0,1094,11274401871,12483,157
201606.0,11992.0,도봉로150길,CS100004,양식집,5.0,1.0,1164.0,15.15,0.0,5.26,0.0,26.67,21858838.0,5419.0,21.0,50.0,0.0,0.0,0.0,0.0,37326859.0,1623.0,4353.0,3255,14614,14614,1090.0,1386.0,1047042105.0,748,10662185531,14614,162
