date,areaCode,serviceCode,totalNearStore,totalStore,avgNearMonth,nearSales,numberOfNearSales,avgMonth,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility,sales,divide
201606.0,11949.0,CS100009,28.0,2.0,795.0,9096419.42857143,32217.0,145.0,3657.0,11655.0,3129,6455,6455,532.0,1249.0,281216170.0,587,6989771304,6455,74,1.0591841887353393,Very_Good
201606.0,11950.0,CS100009,28.0,2.0,827.0,9188938.82142857,33270.0,21.0,2927.0,8531.0,2829,7298,7298,188.0,224.0,29160758.0,585,7584920304,7298,88,0.25653901196801054,Good
201606.0,11954.0,CS100009,32.0,3.0,968.0,9326443.65625,38477.0,77.0,1705.0,2785.0,2622,9197,9197,1974.0,424.0,537092891.0,663,10602653772,9197,126,-0.3505118190491844,Not_Good
201606.0,11956.0,CS100009,28.0,2.0,902.0,9922779.285714284,34904.0,95.0,4502.0,6759.0,2871,7173,7173,718.0,1019.0,497798506.0,638,6834878851,7173,89,1.140724140567381,Very_Good
201606.0,11958.0,CS100009,10.0,1.0,287.0,7585944.4,9775.0,141.0,4256.0,2105.0,1534,4449,4449,1338.0,464.0,608682704.0,569,9566022665,4449,66,1.7122199493318813,Very_Good
201606.0,11962.0,CS100009,53.0,3.0,1572.0,11358477.094339622,86994.0,69.0,445.0,10569.0,10630,18129,18129,690.0,996.0,259257296.0,585,9946805341,18129,231,-0.7287846302401455,Not_Good
201606.0,11966.0,CS100009,23.0,3.0,531.0,8636336.826086957,26179.0,98.0,3632.0,4584.0,3626,10160,10160,2203.0,1002.0,522957428.0,1217,12056158432,10160,120,0.26144960360674774,Good
201606.0,11970.0,CS100009,41.0,2.0,844.0,2287938.3658536584,13340.0,171.0,1126.0,7612.0,6434,10653,10653,1195.0,491.0,360818047.0,1477,13327082298,10653,137,-0.512856628097313,Not_Good
201606.0,11974.0,CS100009,24.0,6.0,359.0,4421755.375,15620.0,59.0,7082.0,7885.0,7528,7506,7506,1878.0,427.0,588899013.0,505,14006923841,7506,153,-0.09069636927393192,Not_Good
201606.0,11982.0,CS100009,15.0,1.0,503.0,7145098.666666668,15434.0,31.0,920.0,1843.0,2879,9149,9149,676.0,432.0,220369594.0,471,10999490999,9149,105,-0.2954784045157907,Not_Good
201606.0,11984.0,CS100009,21.0,2.0,871.0,8151375.857142857,25994.0,38.0,3880.0,4116.0,3183,10257,10257,765.0,319.0,92866668.0,721,9216560305,10257,108,0.32273053644617844,Good
201606.0,11992.0,CS100009,30.0,5.0,794.0,6381128.833333332,28698.0,85.0,8091.0,4353.0,3255,14614,14614,1090.0,1386.0,1047042105.0,748,10662185531,14614,162,0.23365521619278573,Good
201606.0,11993.0,CS100009,15.0,2.0,210.0,5070302.733333333,10829.0,21.0,1577.0,3763.0,2604,8157,8157,1332.0,405.0,656764617.0,476,12372780643,8157,87,-0.3537077541744934,Not_Good
201606.0,11994.0,CS100009,25.0,5.0,917.0,7969666.04,29632.0,203.0,1738.0,3925.0,3191,11584,11584,2402.0,329.0,363306482.0,743,10695321672,11584,116,-0.5532992341162809,Not_Good
201606.0,12000.0,CS100009,33.0,4.0,972.0,11300387.727272727,59884.0,163.0,5671.0,2684.0,3077,11229,11229,2658.0,410.0,629470821.0,745,12109390289,11229,136,-0.049893669323088974,Not_Good
201606.0,12001.0,CS100009,30.0,2.0,903.0,11836379.1,57131.0,84.0,8351.0,1862.0,3044,10373,10373,477.0,669.0,170799805.0,804,13014665173,10373,132,3.047479392263613,Very_Good
201606.0,12003.0,CS100009,33.0,6.0,1005.0,11922452.606060605,62191.0,115.0,9677.0,3330.0,3143,11265,11265,1203.0,6552.0,504573834.0,811,13510643734,11265,138,0.6933252129489047,Good
201606.0,12014.0,CS100009,32.0,4.0,909.0,11561553.84375,59481.0,226.0,15335.0,9401.0,2872,9698,9698,768.0,460.0,339191883.0,823,12856273763,9698,136,0.9286667725005938,Good
201606.0,12015.0,CS100009,50.0,1.0,1456.0,11972559.92,86625.0,16.0,1631.0,15782.0,12943,17008,17008,114.0,0.0,0.0,548,8049812268,17008,218,0.25963097983779326,Good
201606.0,12017.0,CS100009,14.0,2.0,706.0,26698639.71428572,61038.0,183.0,12042.0,12758.0,5440,7609,7609,843.0,0.0,0.0,559,7966409060,7609,117,3.9655640817816296,Very_Good
201606.0,12026.0,CS100009,23.0,7.0,619.0,8775473.391304348,42995.0,282.0,15037.0,359.0,960,5333,5333,1077.0,429.0,319828041.0,562,4850810089,5333,63,0.184535727036033,Good
201606.0,12032.0,CS100009,45.0,4.0,955.0,6042075.977777777,41317.0,142.0,989.0,2323.0,5247,18462,18462,1715.0,494.0,638948117.0,645,9408488599,18462,166,-0.7091722326482034,Not_Good
201606.0,12033.0,CS100009,34.0,2.0,727.0,6167572.94117647,34271.0,24.0,3423.0,2724.0,3605,12161,12161,731.0,419.0,254526645.0,682,9835998735,12161,112,0.6284473827142644,Good
201606.0,12034.0,CS100009,39.0,3.0,773.0,4784832.435897436,26010.0,73.0,814.0,2771.0,4198,13444,13444,1598.0,416.0,517464486.0,643,11700793765,13444,158,-0.6525851130695645,Not_Good
201606.0,12035.0,CS100009,55.0,8.0,1146.0,7231890.963636364,52233.0,43.0,4112.0,4883.0,5658,18975,18975,1684.0,585.0,779274290.0,706,13244086092,18975,227,-0.5856517876642676,Not_Good
201606.0,12043.0,CS100009,59.0,2.0,1318.0,10091874.305084746,85791.0,19.0,6425.0,4689.0,6519,20475,20475,751.0,368.0,284935032.0,788,10934709999,20475,217,0.590996266491413,Good
201606.0,12044.0,CS100009,36.0,1.0,702.0,8314873.416666668,42461.0,2.0,291.0,6631.0,4827,15036,15036,515.0,531.0,254460186.0,791,10504230363,15036,117,-0.6841754747043532,Not_Good
201606.0,12051.0,CS100009,20.0,5.0,322.0,10030729.7,35183.0,94.0,15632.0,24287.0,7100,5699,5699,1570.0,258.0,303126889.0,491,9856576415,5699,92,0.8824184977840104,Good
201606.0,12054.0,CS100009,47.0,2.0,898.0,10740692.340425532,77236.0,58.0,6678.0,4548.0,4811,17548,17548,1787.0,394.0,630772845.0,776,12276806972,17548,170,1.6450672243439493,Very_Good
201606.0,12056.0,CS100009,15.0,1.0,420.0,4081702.8,9424.0,59.0,645.0,17485.0,7333,7059,7059,727.0,653.0,233135297.0,735,10483142394,7059,77,-0.3770213100611892,Not_Good
201606.0,12058.0,CS100009,15.0,2.0,1009.0,10337960.866666667,29839.0,110.0,3183.0,3124.0,2373,5831,5831,1251.0,934.0,527682228.0,759,5875574179,5831,61,0.29798059493599083,Good
201606.0,12059.0,CS100009,52.0,3.0,1182.0,6997732.711538463,60542.0,22.0,2035.0,2724.0,3778,17783,17783,2333.0,1188.0,1126170263.0,913,13113993539,17783,170,-0.3977921333038821,Not_Good
201606.0,12063.0,CS100009,52.0,3.0,1401.0,10405324.826923076,76635.0,48.0,3029.0,4736.0,4187,10905,10905,1602.0,621.0,890846724.0,639,17138006307,10905,148,-0.2611033648393988,Not_Good
201606.0,12066.0,CS100009,55.0,2.0,1508.0,12799544.872727273,98473.0,23.0,654.0,4693.0,5410,10729,10729,520.0,509.0,272135195.0,626,14393050515,10729,155,-0.7043925026023996,Not_Good
