date,areaCode,serviceCode,totalNearStore,totalStore,avgNearMonth,nearSales,numberOfNearSales,avgMonth,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility,sales,divide
201606.0,11954.0,CS100002,6.0,3.0,701.0,46632886.66666666,13742.0,479.0,2672.0,2785.0,2622,9197,9197,1974.0,424.0,537092891.0,663,10602653772,9197,126,-0.3944907791924615,Not_Good
201606.0,11957.0,CS100002,4.0,2.0,296.0,9650881.5,2081.0,0.0,870.0,953.0,1464,3860,3860,901.0,492.0,460593432.0,572,7734630240,3860,34,-0.6616685871827147,Not_Good
201606.0,11963.0,CS100002,4.0,1.0,331.0,35259395.0,6644.0,49.0,555.0,27586.0,5628,7248,7248,339.0,377.0,70751183.0,1563,9790774801,7248,100,-0.09443486835343191,Not_Good
201606.0,11964.0,CS100002,7.0,1.0,540.0,32466425.71428572,10198.0,72.0,2898.0,4999.0,7043,9538,9538,977.0,323.0,199679079.0,1507,11916235639,9538,136,0.5028391603296413,Good
201606.0,11971.0,CS100002,4.0,1.0,512.0,36850889.5,7023.0,88.0,4475.0,4520.0,4409,8287,8287,1928.0,1603.0,554880590.0,1356,12828624829,8287,120,1.4407047255382033,Very_Good
201606.0,11974.0,CS100002,8.0,2.0,465.0,16827527.75,6209.0,109.0,842.0,7885.0,7528,7506,7506,1878.0,427.0,588899013.0,505,14006923841,7506,153,-0.7215938812689474,Not_Good
201606.0,11979.0,CS100002,9.0,2.0,793.0,15612765.222222222,8542.0,201.0,2785.0,1591.0,2983,11593,11593,1849.0,364.0,615773107.0,724,10597982439,11593,130,-0.2607303418732299,Not_Good
201606.0,11983.0,CS100002,13.0,1.0,1114.0,16866106.0,11130.0,74.0,599.0,3233.0,2819,12483,12483,2980.0,378.0,736655192.0,1094,11274401871,12483,157,-0.5915502277182828,Not_Good
201606.0,11994.0,CS100002,7.0,1.0,739.0,11596275.0,5180.0,333.0,415.0,3925.0,3191,11584,11584,2402.0,329.0,363306482.0,743,10695321672,11584,116,-0.6729686667900752,Not_Good
201606.0,11998.0,CS100002,8.0,1.0,579.0,21557102.25,9816.0,7.0,880.0,6614.0,3219,11127,11127,832.0,426.0,336358417.0,810,14609193079,11127,150,-0.5306013021549453,Not_Good
201606.0,12001.0,CS100002,7.0,1.0,803.0,26069322.71428572,10464.0,12.0,854.0,1862.0,3044,10373,10373,477.0,669.0,170799805.0,804,13014665173,10373,132,-0.6149888019475388,Not_Good
201606.0,12003.0,CS100002,7.0,1.0,504.0,27427336.0,11091.0,0.0,941.0,3330.0,3143,11265,11265,1203.0,6552.0,504573834.0,811,13510643734,11265,138,-0.5180137091845604,Not_Good
201606.0,12017.0,CS100002,3.0,1.0,217.0,39232984.333333336,6118.0,176.0,1342.0,12758.0,5440,7609,7609,843.0,0.0,0.0,559,7966409060,7609,117,0.37663013240001714,Good
201606.0,12034.0,CS100002,10.0,1.0,1345.0,18874196.3,11159.0,171.0,44.0,2771.0,4198,13444,13444,1598.0,416.0,517464486.0,643,11700793765,13444,158,-0.8984049873531006,Not_Good
201606.0,12042.0,CS100002,7.0,1.0,402.0,12298446.42857143,4600.0,28.0,592.0,4380.0,6562,6940,6940,1079.0,357.0,433981198.0,740,9666336784,6940,79,-0.5568516351104656,Not_Good
201606.0,12044.0,CS100002,12.0,1.0,561.0,17223122.333333332,10942.0,231.0,987.0,6631.0,4827,15036,15036,515.0,531.0,254460186.0,791,10504230363,15036,117,-0.45889285669052854,Not_Good
201606.0,12050.0,CS100002,18.0,1.0,858.0,27257666.222222224,22567.0,2.0,1126.0,2718.0,4618,19586,19586,1809.0,507.0,792470523.0,763,13828879025,19586,221,0.524942514143788,Good
201606.0,12051.0,CS100002,6.0,1.0,725.0,25857944.66666667,6758.0,89.0,3239.0,24287.0,7100,5699,5699,1570.0,258.0,303126889.0,491,9856576415,5699,92,0.7720227178197497,Good
201606.0,12053.0,CS100002,5.0,1.0,235.0,15013823.6,4576.0,94.0,1367.0,11299.0,6345,8427,8427,1905.0,563.0,852123468.0,731,12294199885,8427,92,-0.2580183250756365,Not_Good
201606.0,12054.0,CS100002,16.0,1.0,691.0,22812950.5625,18132.0,3.0,81.0,4548.0,4811,17548,17548,1787.0,394.0,630772845.0,776,12276806972,17548,170,-0.8834818983167264,Not_Good
201606.0,12058.0,CS100002,4.0,1.0,410.0,47192042.75,12153.0,115.0,2491.0,3124.0,2373,5831,5831,1251.0,934.0,527682228.0,759,5875574179,5831,61,-0.012407792895954532,Not_Good
201606.0,12070.0,CS100002,11.0,2.0,1503.0,34504615.72727273,20980.0,216.0,2226.0,5533.0,4541,14039,14039,1265.0,490.0,712057577.0,703,16404380289,14039,239,-0.19663338561988505,Not_Good
201606.0,12074.0,CS100002,11.0,1.0,658.0,18719812.363636363,13072.0,20.0,2209.0,3301.0,2779,15347,15347,1397.0,1569.0,533188053.0,697,15236045640,15347,135,-0.03767617132431669,Not_Good
201606.0,12084.0,CS100002,4.0,2.0,386.0,28182785.0,4731.0,134.0,1091.0,8686.0,4716,6030,6030,530.0,652.0,43966894.0,812,5868130775,6030,118,-0.2971835066642406,Not_Good
201606.0,12085.0,CS100002,10.0,2.0,855.0,15777200.6,9388.0,147.0,1096.0,6139.0,3445,15437,15437,2586.0,426.0,969835838.0,718,12872025432,15437,147,-0.6743135094016588,Not_Good
201606.0,12090.0,CS100002,7.0,1.0,873.0,44873464.0,15640.0,24.0,340.0,5209.0,4574,16488,16488,730.0,327.0,248436361.0,738,6582411370,16488,232,-0.702453933151587,Not_Good
201606.0,12093.0,CS100002,10.0,1.0,1092.0,15805789.0,8440.0,24.0,639.0,6690.0,4000,12280,12280,1505.0,705.0,915418273.0,884,21153936540,12280,159,-0.4132547355345457,Not_Good
201606.0,12113.0,CS100002,10.0,2.0,1512.0,21589518.9,12644.0,307.0,1694.0,3086.0,5595,10286,10286,1319.0,520.0,581478088.0,675,14289709758,10286,154,-0.4889538391193529,Not_Good
201606.0,12114.0,CS100002,13.0,1.0,1645.0,25498286.84615385,17459.0,29.0,1997.0,8082.0,6974,14966,14966,1203.0,479.0,543443371.0,751,14229742443,14966,210,0.15551953013026482,Good
201606.0,12116.0,CS100002,8.0,1.0,719.0,34482791.75,13764.0,120.0,1541.0,7705.0,3724,13459,13459,1662.0,344.0,598427176.0,504,7715291954,13459,255,1.0614194373470258,Very_Good
201606.0,12121.0,CS100002,9.0,2.0,1520.0,34454560.222222224,16833.0,185.0,2529.0,4139.0,6556,16054,16054,1990.0,600.0,1021791546.0,1074,17537273282,16054,221,-0.27196093104518276,Not_Good
201606.0,12124.0,CS100002,2.0,1.0,268.0,31721219.0,4387.0,61.0,1563.0,3103.0,3248,6227,6227,655.0,339.0,182743732.0,1021,6881830365,6227,145,-0.33608359457606474,Not_Good
201606.0,12130.0,CS100002,12.0,3.0,1084.0,14244332.75,9091.0,192.0,750.0,4222.0,2749,12233,12233,1285.0,2047.0,715206840.0,673,13042631695,12233,118,-0.7853046609333566,Not_Good
201606.0,12131.0,CS100002,2.0,1.0,654.0,45411497.0,4473.0,230.0,1392.0,1788.0,3124,8083,8083,698.0,359.0,200129106.0,1300,4875482999,8083,100,0.015275396195422198,Good
201606.0,12134.0,CS100002,9.0,2.0,948.0,14340100.222222222,6933.0,478.0,2447.0,1742.0,3077,9800,9800,945.0,433.0,387326877.0,630,11088015905,9800,70,-0.25091049365393225,Not_Good
201606.0,12140.0,CS100002,4.0,1.0,708.0,40042270.25,10572.0,73.0,1333.0,4004.0,3341,6969,6969,625.0,327.0,28319433.0,1204,13531409279,6969,133,-0.5754833812227322,Not_Good
201606.0,12144.0,CS100002,13.0,1.0,1106.0,12450516.76923077,9107.0,215.0,2351.0,3560.0,2830,11004,11004,2029.0,396.0,766895193.0,867,10431841285,11004,125,0.4508640365738624,Good
201606.0,12146.0,CS100002,6.0,1.0,460.0,7682410.666666668,2687.0,93.0,1423.0,5051.0,3436,7517,7517,860.0,830.0,293496836.0,1164,10802267382,7517,96,-0.32522808352754895,Not_Good
201606.0,12154.0,CS100002,12.0,1.0,788.0,18722566.166666668,12898.0,75.0,2616.0,3671.0,1627,6815,6815,1787.0,470.0,595682907.0,653,13532525628,6815,141,0.827839968759038,Good
201606.0,12157.0,CS100002,5.0,1.0,792.0,55830539.8,13413.0,61.0,722.0,10326.0,4758,14854,14854,789.0,375.0,130795273.0,1654,9174606390,14854,174,-0.6443895891747873,Not_Good
201606.0,12161.0,CS100002,2.0,1.0,714.0,69879155.0,2815.0,208.0,1516.0,1435.0,1984,2498,2498,360.0,633.0,152794107.0,1075,3765770151,2498,52,0.11662589067694747,Good
