date,areaCode,serviceCode,totalNearStore,totalStore,avgNearMonth,nearSales,numberOfNearSales,avgMonth,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility,sales,divide
201606.0,11950.0,CS100006,8.0,1.0,490.0,23249786.25,16549.0,67.0,832.0,8531.0,2829,7298,7298,188.0,224.0,29160758.0,585,7584920304,7298,88,0.05219720850655658,Good
201606.0,11953.0,CS100006,6.0,1.0,552.0,53525088.66666666,28055.0,189.0,3528.0,1367.0,2317,10230,10230,2025.0,590.0,898803030.0,969,10211078476,10230,130,2.570970121205922,Very_Good
201606.0,11954.0,CS100006,9.0,2.0,626.0,57520858.55555555,61360.0,74.0,1000.0,2785.0,2622,9197,9197,1974.0,424.0,537092891.0,663,10602653772,9197,126,-0.4619634645655737,Not_Good
201606.0,11956.0,CS100006,8.0,1.0,490.0,23249786.25,16549.0,12.0,8400.0,6759.0,2871,7173,7173,718.0,1019.0,497798506.0,638,6834878851,7173,89,1.7911848890973034,Very_Good
201606.0,11958.0,CS100006,6.0,3.0,220.0,5089572.666666667,2165.0,191.0,1406.0,2105.0,1534,4449,4449,1338.0,464.0,608682704.0,569,9566022665,4449,66,-0.4568920405720739,Not_Good
201606.0,11963.0,CS100006,17.0,3.0,664.0,9920634.411764706,16662.0,146.0,3210.0,27586.0,5628,7248,7248,339.0,377.0,70751183.0,1563,9790774801,7248,100,-0.43435002984750265,Not_Good
201606.0,11966.0,CS100006,6.0,1.0,344.0,28687997.5,17757.0,111.0,1131.0,4584.0,3626,10160,10160,2203.0,1002.0,522957428.0,1217,12056158432,10160,120,0.03979492316184987,Good
201606.0,11970.0,CS100006,22.0,2.0,886.0,8305628.090909091,17497.0,61.0,801.0,7612.0,6434,10653,10653,1195.0,491.0,360818047.0,1477,13327082298,10653,137,-0.3946174355590975,Not_Good
201606.0,11971.0,CS100006,17.0,2.0,771.0,12150979.176470587,18500.0,88.0,1020.0,4520.0,4409,8287,8287,1928.0,1603.0,554880590.0,1356,12828624829,8287,120,-0.5058602978370371,Not_Good
201606.0,11974.0,CS100006,19.0,2.0,805.0,9044669.368421054,16504.0,89.0,4962.0,7885.0,7528,7506,7506,1878.0,427.0,588899013.0,505,14006923841,7506,153,0.004533310461012678,Good
201606.0,11984.0,CS100006,13.0,3.0,912.0,10968656.923076924,10801.0,104.0,2095.0,4116.0,3183,10257,10257,765.0,319.0,92866668.0,721,9216560305,10257,108,-0.5030045608825034,Not_Good
201606.0,11992.0,CS100006,17.0,3.0,935.0,20114139.0,34191.0,286.0,1926.0,4353.0,3255,14614,14614,1090.0,1386.0,1047042105.0,748,10662185531,14614,162,-0.3013937130295589,Not_Good
201606.0,11994.0,CS100006,16.0,1.0,930.0,18970269.5,32157.0,32.0,670.0,3925.0,3191,11584,11584,2402.0,329.0,363306482.0,743,10695321672,11584,116,-0.3095088504179445,Not_Good
201606.0,11998.0,CS100006,14.0,2.0,502.0,25422002.64285714,39100.0,43.0,17708.0,6614.0,3219,11127,11127,832.0,426.0,336358417.0,810,14609193079,11127,150,2.1349154684085447,Very_Good
201606.0,12000.0,CS100006,17.0,2.0,632.0,21492314.82352941,37794.0,134.0,847.0,2684.0,3077,11229,11229,2658.0,410.0,629470821.0,745,12109390289,11229,136,-0.5144929312656508,Not_Good
201606.0,12001.0,CS100006,13.0,2.0,492.0,26048874.615384616,36733.0,140.0,2630.0,1862.0,3044,10373,10373,477.0,669.0,170799805.0,804,13014665173,10373,132,-0.10931282542094166,Not_Good
201606.0,12003.0,CS100006,13.0,4.0,502.0,27377541.30769231,39100.0,158.0,6684.0,3330.0,3143,11265,11265,1203.0,6552.0,504573834.0,811,13510643734,11265,138,-0.26340514273613536,Not_Good
201606.0,12026.0,CS100006,15.0,2.0,621.0,9505606.2,12623.0,232.0,5922.0,359.0,960,5333,5333,1077.0,429.0,319828041.0,562,4850810089,5333,63,0.28419702099323896,Good
201606.0,12042.0,CS100006,7.0,1.0,349.0,14629829.714285715,6008.0,2.0,127.0,4380.0,6562,6940,6940,1079.0,357.0,433981198.0,740,9666336784,6940,79,-0.6724171356353528,Not_Good
201606.0,12047.0,CS100006,26.0,2.0,1423.0,20468965.846153848,52311.0,107.0,1512.0,3644.0,6371,21878,21878,1514.0,559.0,612203668.0,790,11857001987,21878,218,-0.3159767054495488,Not_Good
201606.0,12050.0,CS100006,25.0,2.0,1552.0,22114879.72,52972.0,109.0,457.0,2718.0,4618,19586,19586,1809.0,507.0,792470523.0,763,13828879025,19586,221,-0.5708463122263867,Not_Good
201606.0,12051.0,CS100006,11.0,3.0,601.0,22433515.63636364,31920.0,201.0,7423.0,24287.0,7100,5699,5699,1570.0,258.0,303126889.0,491,9856576415,5699,92,-0.06727385321125375,Not_Good
201606.0,12054.0,CS100006,19.0,2.0,1265.0,27992062.10526316,47395.0,64.0,2457.0,4548.0,4811,17548,17548,1787.0,394.0,630772845.0,776,12276806972,17548,170,0.034263731904796285,Good
201606.0,12056.0,CS100006,7.0,1.0,278.0,13219775.0,5461.0,38.0,1219.0,17485.0,7333,7059,7059,727.0,653.0,233135297.0,735,10483142394,7059,77,0.1427833989371941,Good
201606.0,12058.0,CS100006,14.0,2.0,684.0,9749690.142857144,16632.0,44.0,3114.0,3124.0,2373,5831,5831,1251.0,934.0,527682228.0,759,5875574179,5831,61,-0.28718994828223254,Not_Good
201606.0,12059.0,CS100006,13.0,1.0,570.0,20526657.769230768,19073.0,53.0,674.0,2724.0,3778,17783,17783,2333.0,1188.0,1126170263.0,913,13113993539,17783,170,-0.47386957665487556,Not_Good
201606.0,12062.0,CS100006,30.0,4.0,1379.0,16677743.266666668,53808.0,144.0,2072.0,4747.0,6543,12128,12128,288.0,490.0,140564225.0,797,12953485785,12128,183,-0.4458381043157139,Not_Good
201606.0,12063.0,CS100006,27.0,3.0,694.0,15358100.814814815,42266.0,56.0,602.0,4736.0,4187,10905,10905,1602.0,621.0,890846724.0,639,17138006307,10905,148,-0.6531416763437279,Not_Good
