date,areaCode,serviceCode,totalNearStore,totalStore,avgNearMonth,nearSales,numberOfNearSales,avgMonth,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility,sales,divide
201606.0,11950.0,CS100010,39.0,5.0,1641.0,5855078.743589744,7573.0,44.0,142.0,8531.0,2829,7298,7298,188.0,224.0,29160758.0,585,7584920304,7298,88,-0.5613782853641256,Not_Good
201606.0,11953.0,CS100010,47.0,5.0,2117.0,2630811.6382978717,4326.0,412.0,378.0,1367.0,2317,10230,10230,2025.0,590.0,898803030.0,969,10211078476,10230,130,-0.45856705888588895,Not_Good
201606.0,11954.0,CS100010,42.0,8.0,1751.0,6698751.642857143,10885.0,73.0,672.0,2785.0,2622,9197,9197,1974.0,424.0,537092891.0,663,10602653772,9197,126,-0.505460682612103,Not_Good
201606.0,11956.0,CS100010,38.0,2.0,1598.0,6455592.921052633,9034.0,151.0,202.0,6759.0,2871,7173,7173,718.0,1019.0,497798506.0,638,6834878851,7173,89,-0.38405615044367897,Not_Good
201606.0,11957.0,CS100010,15.0,3.0,1761.0,12754454.0,6612.0,253.0,1162.0,953.0,1464,3860,3860,901.0,492.0,460593432.0,572,7734630240,3860,34,-0.12822792843222947,Not_Good
201606.0,11958.0,CS100010,16.0,6.0,1549.0,11159411.0,6164.0,611.0,2427.0,2105.0,1534,4449,4449,1338.0,464.0,608682704.0,569,9566022665,4449,66,-0.08697209454866905,Not_Good
201606.0,11962.0,CS100010,81.0,2.0,3119.0,12451441.98765432,45040.0,117.0,171.0,10569.0,10630,18129,18129,690.0,996.0,259257296.0,585,9946805341,18129,231,-0.4728099413432264,Not_Good
201606.0,11963.0,CS100010,35.0,4.0,2152.0,5509685.371428572,6495.0,130.0,822.0,27586.0,5628,7248,7248,339.0,377.0,70751183.0,1563,9790774801,7248,100,-0.34885048578028743,Not_Good
201606.0,11964.0,CS100010,64.0,3.0,2784.0,5827500.0625,11139.0,29.0,183.0,4999.0,7043,9538,9538,977.0,323.0,199679079.0,1507,11916235639,9538,136,-0.5579427879625913,Not_Good
201606.0,11966.0,CS100010,17.0,2.0,1290.0,7772131.882352943,5653.0,301.0,763.0,4584.0,3626,10160,10160,2203.0,1002.0,522957428.0,1217,12056158432,10160,120,-0.14151505085723856,Not_Good
201606.0,11969.0,CS100010,33.0,5.0,2299.0,5526439.2727272725,6550.0,182.0,1429.0,10707.0,4873,6843,6843,314.0,363.0,23860416.0,1662,9775050789,6843,110,-0.45795460075217,Not_Good
201606.0,11970.0,CS100010,51.0,3.0,2834.0,5665285.607843137,8395.0,395.0,276.0,7612.0,6434,10653,10653,1195.0,491.0,360818047.0,1477,13327082298,10653,137,-0.2682885141066903,Not_Good
201606.0,11971.0,CS100010,41.0,6.0,2478.0,4519270.780487805,6668.0,256.0,2212.0,4520.0,4409,8287,8287,1928.0,1603.0,554880590.0,1356,12828624829,8287,120,-0.026048650168578536,Not_Good
201606.0,11972.0,CS100010,45.0,3.0,3865.0,7333067.222222223,11631.0,102.0,222.0,2675.0,3000,11760,11760,1867.0,416.0,413925693.0,715,10120037905,11760,119,-0.4637260158427703,Not_Good
201606.0,11974.0,CS100010,34.0,3.0,1081.0,3253441.970588235,4085.0,227.0,933.0,7885.0,7528,7506,7506,1878.0,427.0,588899013.0,505,14006923841,7506,153,-0.07103920796291144,Not_Good
