date,areaCode,serviceCode,totalNearStore,totalStore,avgNearMonth,nearSales,numberOfNearSales,avgMonth,numberOfSales,totalPeople,totalNearPeople,totalBizman,totalNearBizman,totalLivingPeople,avgIncome,avgOutcome,avgNearIcome,avgNearOutcome,totalFacility,totalNearFacility,sales,divide
201606.0,11949.0,CS100001,86.0,8.0,5761.0,39816094.8372093,90037.0,438.0,9100.0,11655.0,3129,6455,6455,532.0,1249.0,281216170.0,587,6989771304,6455,74,0.8769477465551458,Good
201606.0,11950.0,CS100001,96.0,3.0,5902.0,36329217.270833336,93673.0,43.0,558.0,8531.0,2829,7298,7298,188.0,224.0,29160758.0,585,7584920304,7298,88,-0.6619160193286515,Not_Good
201606.0,11953.0,CS100001,123.0,14.0,9058.0,16117387.902439024,56765.0,1500.0,5003.0,1367.0,2317,10230,10230,2025.0,590.0,898803030.0,969,10211078476,10230,130,-0.46518207847989246,Not_Good
201606.0,11954.0,CS100001,116.0,19.0,7514.0,38253440.82758621,122360.0,1357.0,10042.0,2785.0,2622,9197,9197,1974.0,424.0,537092891.0,663,10602653772,9197,126,-0.1427441716255664,Not_Good
201606.0,11956.0,CS100001,99.0,9.0,6359.0,35987826.68686869,96911.0,658.0,13976.0,6759.0,2871,7173,7173,718.0,1019.0,497798506.0,638,6834878851,7173,89,0.9534634057383121,Good
201606.0,11957.0,CS100001,74.0,9.0,6758.0,17766738.31081081,39744.0,1139.0,2511.0,953.0,1464,3860,3860,901.0,492.0,460593432.0,572,7734630240,3860,34,-0.5280420932027704,Not_Good
201606.0,11958.0,CS100001,68.0,15.0,6163.0,16867422.48529412,33907.0,1400.0,7475.0,2105.0,1534,4449,4449,1338.0,464.0,608682704.0,569,9566022665,4449,66,-0.27001456024428083,Not_Good
201606.0,11962.0,CS100001,189.0,7.0,8430.0,28406811.35978836,184260.0,500.0,6225.0,10569.0,10630,18129,18129,690.0,996.0,259257296.0,585,9946805341,18129,231,0.5114585210181405,Good
201606.0,11963.0,CS100001,129.0,7.0,6065.0,13312824.085271318,66445.0,319.0,10355.0,27586.0,5628,7248,7248,339.0,377.0,70751183.0,1563,9790774801,7248,100,-0.006112633597838993,Not_Good
201606.0,11964.0,CS100001,175.0,9.0,8932.0,19624787.954285715,108597.0,395.0,817.0,4999.0,7043,9538,9538,977.0,323.0,199679079.0,1507,11916235639,9538,136,-0.800260435684022,Not_Good
201606.0,11965.0,CS100001,161.0,10.0,7009.0,33271237.55279503,183910.0,119.0,6737.0,6621.0,15041,16343,16343,1816.0,760.0,621741062.0,520,8277844747,16343,223,-0.15819972330351054,Not_Good
201606.0,11966.0,CS100001,82.0,16.0,5365.0,22927176.93902439,55727.0,752.0,8478.0,4584.0,3626,10160,10160,2203.0,1002.0,522957428.0,1217,12056158432,10160,120,-0.41026428079884125,Not_Good
201606.0,11969.0,CS100001,132.0,14.0,6025.0,14026416.416666664,70713.0,464.0,5283.0,10707.0,4873,6843,6843,314.0,363.0,23860416.0,1662,9775050789,6843,110,-0.5353224683667301,Not_Good
201606.0,11970.0,CS100001,183.0,14.0,8873.0,13616942.907103825,96622.0,524.0,3722.0,7612.0,6434,10653,10653,1195.0,491.0,360818047.0,1477,13327082298,10653,137,-0.6295156373001697,Not_Good
201606.0,11971.0,CS100001,142.0,20.0,6589.0,13775902.330985915,72567.0,1099.0,15275.0,4520.0,4409,8287,8287,1928.0,1603.0,554880590.0,1356,12828624829,8287,120,0.1546864211537251,Good
201606.0,11972.0,CS100001,119.0,17.0,8154.0,15574002.394957986,64498.0,1227.0,11626.0,2675.0,3000,11760,11760,1867.0,416.0,413925693.0,715,10120037905,11760,119,0.12935866028579907,Good
201606.0,11974.0,CS100001,90.0,13.0,15266.0,10517534.044444444,41875.0,507.0,5250.0,7885.0,7528,7506,7506,1878.0,427.0,588899013.0,505,14006923841,7506,153,-0.3591650573499977,Not_Good
201606.0,11975.0,CS100001,170.0,12.0,8684.0,12844752.611764707,86620.0,675.0,2988.0,7516.0,6794,9846,9846,2002.0,338.0,493779206.0,1428,12198382760,9846,150,-0.6253138286783844,Not_Good
201606.0,11978.0,CS100001,73.0,7.0,14677.0,11088105.246575342,35422.0,530.0,5188.0,11134.0,7804,5503,5503,1123.0,423.0,350810711.0,487,12129843945,5503,117,-0.00868825582187875,Not_Good
