areaCode,doro,gu,dong
11947.0,당산로44길,영등포구,당산2동
11948.0,동일로242길,노원구,상계1동
11949.0,동일로_A,노원구,상계1동
11950.0,동일로_B,노원구,상계1동
11953.0,도봉로_A,도봉구,도봉1동
11954.0,동일로_C,노원구,상계1동
11956.0,동일로242가길,노원구,상계1동
11957.0,도봉로181길_A,도봉구,도봉1동
11958.0,도봉로181길_B,도봉구,도봉1동
11962.0,상계로,노원구,상계2동
11963.0,한글비석로20길_A,노원구,중계4동
11964.0,상계로23다길,노원구,상계2동
11965.0,상계로1길,노원구,상계10동
11966.0,해등로_B,도봉구,쌍문2동
11967.0,덕릉로_A,노원구,중계4동
11969.0,한글비석로20길_B,노원구,중계4동
11970.0,상계로27길,노원구,상계5동
11971.0,덕릉로83길,노원구,중계4동
11972.0,도봉로_B,도봉구,방학1동
11974.0,노원로34길,노원구,상계5동
11975.0,한글비석로_B,노원구,상계5동
11978.0,한글비석로_D,노원구,상계5동
11979.0,도당로27길,도봉구,방학1동
11981.0,방학로10길,도봉구,방학2동
11982.0,도당로_A,도봉구,방학1동
11983.0,도봉로156길,도봉구,도봉2동
11984.0,도봉로145길,도봉구,방학1동
11992.0,도봉로150길,도봉구,방학1동
11993.0,도당로13길_A,도봉구,방학2동
11994.0,도봉로_D,도봉구,방학1동
11995.0,도당로13길_B,도봉구,방학2동
11998.0,도봉로109길,도봉구,쌍문3동
12000.0,도봉로114길,도봉구,창1동
12001.0,도봉로_E,도봉구,쌍문3동
12003.0,도봉로_G,도봉구,창1동
12005.0,도봉로113길,도봉구,쌍문3동
12014.0,도봉로_H,도봉구,쌍문3동
12015.0,노해로_A,노원구,상계2동
12017.0,노해로65길,도봉구,창5동
12024.0,노해로85길,노원구,상계2동
12025.0,노해로63길,도봉구,창5동
12026.0,삼양로144길,도봉구,쌍문1동
12029.0,도봉로71길,강북구,수유1동
12030.0,도봉로67길_A,강북구,미아동
12032.0,도봉로_K,강북구,미아동
12033.0,도봉로_L,강북구,미아동
12034.0,도봉로67길_B,강북구,삼양동
12035.0,도봉로77길,강북구,수유1동
12039.0,도봉로_M,강북구,수유1동
12042.0,덕릉로60길,도봉구,창3동
12043.0,한천로143길,강북구,수유3동
12044.0,도봉로_N,강북구,번1동
12047.0,노해로11길,강북구,수유3동
12048.0,도봉로_O,강북구,번1동
12050.0,노해로17길,강북구,수유3동
12051.0,동일로203가길,노원구,중계2.3동
12052.0,한천로_B,강북구,수유3동
12053.0,덕릉로57길,도봉구,창2동
12054.0,한천로140길,강북구,수유3동
12056.0,덕릉로_E,도봉구,창2동
12058.0,석계로_A,노원구,월계1동
12059.0,동일로180길,노원구,공릉1동
12062.0,연서로29길,은평구,갈현1동
12063.0,갈현로_A,은평구,갈현2동
12066.0,갈현로_B,은평구,갈현2동
12067.0,통일로_A,은평구,불광2동
12070.0,통일로87길,은평구,갈현1동
12071.0,동일로_L,노원구,공릉1동
12072.0,통일로83길,은평구,갈현1동
12073.0,동일로_M,노원구,공릉1동
12074.0,솔샘로67길,강북구,송천동
12075.0,공릉로_B,노원구,공릉2동
12076.0,동일로_N,노원구,공릉1동
12077.0,도봉로50길,강북구,미아동
12079.0,도봉로_P,강북구,미아동
12081.0,솔매로,강북구,미아동
12084.0,동일로197길,노원구,공릉1동
12085.0,도봉로_Q,강북구,미아동
12086.0,동일로192길,노원구,공릉1동
12088.0,도봉로_R,강북구,미아동
12090.0,월계로_A,강북구,송중동
12091.0,공릉로2길,중랑구,묵1동
12092.0,한천로78길,성북구,석관동
12093.0,서오릉로_A,은평구,갈현2동
12094.0,월계로7길,강북구,송중동
12097.0,연서로_B,은평구,대조동
12098.0,장위로38길,성북구,장위2동
12102.0,월계로7나길,강북구,송중동
12103.0,동일로_O,중랑구,묵2동
12110.0,보국문로_A,성북구,정릉4동
12111.0,석계로1길,노원구,월계1동
12113.0,통일로73길,은평구,대조동
12114.0,연서로26길,은평구,대조동
12116.0,도봉로10다길,강북구,송중동
12118.0,통일로_C,은평구,대조동
12120.0,공릉로_E,중랑구,묵1동
12121.0,연서로27길,은평구,갈현2동
12122.0,석계로_B,노원구,월계1동
12123.0,솔샘로64길,강북구,송천동
12124.0,석계로9길,노원구,월계1동
12130.0,중랑역로_B,중랑구,중화2동
12131.0,화랑로13길,성북구,월곡2동
12134.0,중랑역로_C,중랑구,묵2동
12135.0,봉화산로56길,중랑구,신내1동
12139.0,오패산로,성북구,월곡2동
12140.0,길음로_A,성북구,길음1동
12142.0,정릉로26길,성북구,정릉2동
12143.0,화랑로_C,성북구,월곡2동
12144.0,중랑역로_D,중랑구,중화2동
12145.0,길음로7길,성북구,길음1동
12146.0,신내로14길,중랑구,신내1동
